##Command-line: '/net/langmead-bigmem-ib.bluecrab.cluster/storage/dnb/code2/fgc/code/fastkzclustexp -c32 -c64 -c128 -c256 -c512 -c1024 -c2048 -c4096 -c8192 -c16384 -c32768 -c65536 -k10 -M200000000000 ../data/miniosm.gr'
##z: 1
##nsamples: 1000
##k: 10
#label	coreset_size	mincost	meancost	maxcost
fullproblem	12699	8.36025e+06	1.03561e+07	1.68153e+07
coreset	32	4.4751e+06	6.99379e+06	1.06943e+07
coreset	64	6.09056e+06	8.19382e+06	1.2455e+07
coreset	128	7.07544e+06	9.03312e+06	1.38154e+07
coreset	256	7.78566e+06	1.02226e+07	1.556e+07
coreset	512	8.02929e+06	1.02593e+07	1.48081e+07
coreset	1024	8.28958e+06	1.06801e+07	1.58362e+07
coreset	2048	8.4535e+06	1.05864e+07	1.48149e+07
coreset	4096	8.56996e+06	1.05997e+07	1.71379e+07
coreset	8192	8.57548e+06	1.06349e+07	1.54562e+07
coreset	16384	8.46983e+06	1.07505e+07	1.62753e+07
coreset	32768	8.26682e+06	1.0646e+07	1.56591e+07
coreset	65536	8.15751e+06	1.06401e+07	1.60066e+07
