##Command-line: '/net/langmead-bigmem-ib.bluecrab.cluster/storage/dnb/code2/fgc/code/fastkzclustexp -c32 -c64 -c128 -c256 -c512 -c1024 -c2048 -c4096 -c8192 -c16384 -c32768 -c65536 -k10 -M200000000000 ../data/line.dimacs.gr'
##z: 1
##nsamples: 1000
##k: 10
#label	coreset_size	mincost	meancost	maxcost
fullproblem	500	14640.9	17788.5	23175.8
coreset	32	9470.23	12265.7	18034.5
coreset	64	12035.7	14809.2	18191.4
coreset	128	12845	16483.1	22544.9
coreset	256	13332.1	17144.7	21719.2
coreset	512	14259.7	17971.8	23629.5
coreset	1024	14507.1	18562.2	24956.3
coreset	2048	14230.6	18184.1	24284.4
coreset	4096	14113.4	18049.6	22895.3
coreset	8192	14302	18045.4	22985.8
coreset	16384	14517	17932.1	23609.1
coreset	32768	14021	17966.7	23002.6
coreset	65536	13625.9	17916.5	22645.5
