##Command-line: './fastkzclustexp -M550000000000 -t250 -c10 -c50 -c100 -c250 -c500 -c750 -c1000 -c2500 -c5000 -c10000 -p80 -T40 -o nyc.results ./nyc.gr'
##z: 1
##nsamples: 250
##k: 10
#coreset_size	max distortion (true coreset)	mean distortion (true coreset)	max distortion (uniform sampling)	mean distortion (uniform sampling)
10	0.542731	0.175173	0.999999	0.999999
50	0.385812	0.155284	0.999993	0.999992
100	0.172869	0.0519228	0.999986	0.999984
250	0.181493	0.052518	0.999964	0.99996
500	0.107747	0.0324008	0.999924	0.999919
750	0.0744028	0.0333676	0.999886	0.99988
1000	0.0535938	0.0180059	0.999848	0.99984
2500	0.0596106	0.017758	0.999614	0.999599
5000	0.036851	0.0116487	0.999224	0.99921
10000	0.0259595	0.00804693	0.998436	0.998416
