##Command-line: './fastkzclustexp -p40 -k5 -o nystate.nber.sq.spliced.k10 -M200000000000 ../data/NY.osm.nber.gr'
##z: 1
##nsamples: 500
##k: 5
##nv: 1096601
##ne: 16582806
#coreset_size	max distortion (VX11)	mean distortion (VX11)	 max distortion (BFL16)	mean distortion (BFL16)	max distortion (uniform sampling)	mean distortion (uniform sampling)	mean distortion on approximate soln [VX11]	meandist on approx [BFL16]	mean distortion on approximate solution, Uniform Sampling
5	0.789112	0.219529	0.995324	0.479731	0.83112	0.582014	0.219985	0.000596321	0.501597
10	0.560469	0.160538	0.680915	0.294775	1.33608	0.857643	0.249526	0.000483088	0.565885
15	0.378219	0.1606	0.613646	0.330898	0.938158	0.652856	0.259068	0.000403853	0.420112
20	0.309107	0.112355	0.40314	0.158361	0.94893	0.580768	0.1636	0.000223237	0.477067
25	0.420883	0.112601	0.337044	0.126963	1.07455	0.614151	0.212104	0.000118101	0.672506
50	0.189814	0.0575362	0.234496	0.100647	1.02223	0.483714	0.106402	0.000159215	0.350108
75	0.202417	0.0575139	0.197409	0.0648656	0.946911	0.566129	0.122849	8.83728e-05	0.363268
100	0.163664	0.0321071	0.139645	0.0702874	0.65705	0.36465	0.0594932	8.5476e-05	0.288777
125	0.166298	0.0380552	0.151893	0.0527121	0.530635	0.31008	0.0536894	6.76351e-05	0.223683
250	0.0828312	0.0302667	0.117042	0.0462513	0.413309	0.227105	0.0546885	5.68404e-05	0.152352
375	0.0887318	0.0303286	0.0750591	0.0276276	0.432619	0.178318	0.0455656	3.96575e-05	0.186712
500	0.0547176	0.0118642	0.0652579	0.0262737	0.27424	0.12316	0.0124224	4.98922e-05	0.152536
625	0.0621336	0.0146468	0.0993963	0.0612783	0.266115	0.101153	0.032008	9.56559e-05	0.0479917
1250	0.0532616	0.015825	0.0500181	0.0171866	0.268337	0.166629	0.0240381	1.87429e-05	0.163807
1875	0.0429375	0.014642	0.0412955	0.0130954	0.167303	0.0862473	0.0253602	2.02058e-05	0.0829812
2500	0.0268965	0.00640323	0.0400739	0.0190149	0.129658	0.0766623	0.0122431	2.01527e-05	0.0579005
3125	0.0277928	0.0102534	0.0266533	0.0121641	0.191605	0.133561	0.0149449	1.73454e-05	0.147644
3750	0.0284689	0.007388	0.0250048	0.0103701	0.112763	0.0547581	0.0149883	1.0322e-05	0.053114
