##Command-line: 'fastkzclustexp -Lrp30 -k15 -T5 -obrooklynfull30t -M100G ../data/brooklyn-1-16.annotated.gr'
##z: 1
##nsamples: 500
##k: 15
##nv: 125167
##ne: 154912
#coreset_size	max distortion (VX11)	mean distortion (VX11)	 max distortion (BFL16)	mean distortion (BFL16)	max distortion (uniform sampling)	mean distortion (uniform sampling)	mean distortion on approximate soln [VX11]	meandist on approx [BFL16]	mean distortion on approximate solution, Uniform Sampling
5	1.01041	0.263119	0.768278	0.235954	0.691973	0.189818	0.206318	0.000293372	0.144275
10	0.500766	0.145607	0.566899	0.185132	0.544225	0.16765	0.0804291	0.000343447	0.148137
15	0.375982	0.109204	0.544288	0.17463	0.463126	0.138256	0.0916217	0.000369675	0.0789383
20	0.348134	0.0939074	0.478009	0.146173	0.421466	0.115711	0.0550171	0.000477634	0.059954
25	0.379309	0.0960834	0.386543	0.114796	0.330333	0.0921498	0.073544	0.000278269	0.0393392
50	0.248478	0.0707613	0.324997	0.0826578	0.238876	0.0664305	0.0985231	0.000185236	0.0647706
75	0.189778	0.0486007	0.372952	0.130186	0.205652	0.0560941	0.0470182	0.000366512	0.0332896
100	0.193565	0.0501967	0.246124	0.0773857	0.203196	0.0639276	0.0794659	0.000199896	0.0917408
125	0.16152	0.0394561	0.2085	0.0597261	0.152072	0.0503375	0.034043	0.000150365	0.0205878
250	0.123522	0.0328131	0.146612	0.045123	0.133972	0.0426187	0.0387665	8.71486e-05	0.0260739
375	0.0923328	0.0237572	0.11211	0.0297169	0.10038	0.0308602	0.032041	0.000101716	0.0345914
500	0.0786947	0.019741	0.13489	0.0535069	0.0953563	0.0272264	0.0117216	0.00017345	0.0323432
625	0.0718996	0.0195339	0.089656	0.0259866	0.0753744	0.0237445	0.0141109	6.09702e-05	0.0207763
1250	0.0512017	0.0136435	0.0666883	0.0206858	0.0487038	0.0141134	0.0111729	5.93058e-05	0.0173297
1875	0.0375877	0.00998977	0.046837	0.0140926	0.0463028	0.0115404	0.00852038	2.202e-05	0.0144936
2500	0.0381279	0.0101016	0.0464519	0.0128298	0.0340483	0.00926702	0.00645449	2.46548e-05	0.00779626
3125	0.0329565	0.00901288	0.0424709	0.014004	0.0337897	0.0104914	0.00726034	2.66343e-05	0.0071149
3750	0.0273466	0.00661226	0.0500614	0.0165255	0.0286	0.00905818	0.00535198	5.20226e-05	0.00941211
