##z: 1
##nsamples: 500
##k: 10
##nv: 1072299
##ne: 1224920
##Subsampled: 4159 within bounding box, 218 outside lat (40.700862->40.709288), lon (-74.021695->-74.006031), probabilities: 1/0.0002
#coreset_size	max distortion (VX11)	mean distortion (VX11)	 max distortion (BFL16)	mean distortion (BFL16)	max distortion (uniform sampling)	mean distortion (uniform sampling)	mean distortion on approximate soln [VX11]	meandist on approx [BFL16]	mean distortion on approximate solution, Uniform Sampling
5	0.56225	0.223259	0.539583	0.247739	0.963898	0.847583	0.294389	0.156935	0.602857
6	0.54299	0.235968	0.557708	0.183511	2.03879	1.68958	0.190617	0.0523182	0.815179
9	0.43254	0.205108	0.435362	0.162842	0.966524	0.720755	0.138787	0.124427	0.655399
10	0.39446	0.20428	0.460972	0.19567	0.934644	0.860995	0.154514	0.0618	0.61869
15	0.369666	0.189944	0.379172	0.184675	1.24547	0.86805	0.100127	0.0661129	0.581605
18	0.302811	0.149515	0.339974	0.116917	0.908717	0.611415	0.191826	0.0376949	0.483323
20	0.322112	0.118275	0.277424	0.0860359	1.11079	0.599275	0.154988	0.0271892	0.409704
25	0.233293	0.0604416	0.180151	0.046728	1.16354	0.539693	0.097886	0.059539	0.149453
27	0.26415	0.0703425	0.278627	0.115163	1.1299	0.475994	0.193991	0.036937	0.337213
50	0.185128	0.0659996	0.227005	0.108189	0.864715	0.369177	0.0936921	0.0198427	0.258289
54	0.221708	0.101217	0.187068	0.0707415	0.6748	0.422124	0.0989121	0.020485	0.347153
75	0.133345	0.0471304	0.12637	0.048351	0.716022	0.432694	0.0770394	0.0322269	0.311051
81	0.168448	0.0555034	0.153709	0.0452438	0.656824	0.432458	0.0976333	0.0217337	0.286364
100	0.107966	0.0362553	0.149001	0.062206	0.787008	0.387301	0.0578653	0.0230519	0.278705
125	0.0924819	0.0401028	0.130781	0.0752807	0.386482	0.152474	0.0734412	0.0262789	0.136703
162	0.129799	0.033229	0.140089	0.0782589	0.553033	0.368427	0.0469206	0.00791658	0.205979
243	0.103264	0.046999	0.0789109	0.0204342	0.30675	0.185582	0.0424563	0.0162378	0.140421
250	0.0754208	0.0314837	0.0873044	0.0431081	0.374238	0.203625	0.0269103	0.026931	0.153935
375	0.0654613	0.0234273	0.0759657	0.0361314	0.292871	0.158319	0.0316523	0.0148546	0.157864
486	0.054923	0.0254181	0.0798808	0.0463096	0.233908	0.115452	0.0224196	0.0124912	0.0762928
500	0.0705422	0.0202314	0.0561272	0.0196676	0.329465	0.178652	0.0476449	0.00982763	0.125676
625	0.0543723	0.0153108	0.0662459	0.031366	0.34528	0.23629	0.0283713	0.0106719	0.130728
729	0.0434928	0.0131086	0.0547945	0.0184044	0.249962	0.147111	0.0281392	0.00949419	0.0981125
1250	0.0371954	0.0153285	0.039075	0.0174901	0.188571	0.106819	0.0164042	0.00771998	0.0690836
1458	0.0356374	0.0148205	0.0378813	0.0114816	0.143715	0.0857372	0.0182248	0.00710547	0.0630435
1875	0.03179	0.0122723	0.0328596	0.016911	0.175097	0.106655	0.0142602	0.00672664	0.0993466
2187	0.0269093	0.0136794	0.0313233	0.0141819	0.229319	0.159547	0.0108403	0.00556787	0.105065
2500	0.0329024	0.0105104	0.0247889	0.00975666	0.133648	0.0756904	0.0200438	0.00605326	0.0547565
3125	0.0269113	0.0121362	0.0250126	0.0120219	0.106874	0.0660529	0.00908239	0.00474794	0.0455243
3750	0.0200269	0.00791376	0.0323902	0.0124666	0.101379	0.0389278	0.00549121	0.0031127	0.0336385
4374	0.0233162	0.0089432	0.0181993	0.00956082	0.0936981	0.0540222	0.0154215	0.00466868	0.0522025
6561	0.0174965	0.00588418	0.0164953	0.00608997	0.0891661	0.0496229	0.00636128	0.00156558	0.0367028
13122	0.0134331	0.00661998	0.0142505	0.00582042	0.0530194	0.0350847	0.00908905	0.00207769	0.0287911
19683	0.00846426	0.00345322	0.0109088	0.00399182	0.034792	0.0220186	0.00499979	0.00235715	0.0180204
