##Command-line: '/net/langmead-bigmem-ib.bluecrab.cluster/storage/dnb/code2/fgc/code/fastkzclustexp -c32 -c64 -c128 -c256 -c512 -c1024 -c2048 -c4096 -c8192 -c16384 -c32768 -c65536 -k25 -M200000000000 ../data/line.dimacs.gr'
##z: 1
##nsamples: 1000
##k: 25
#label	coreset_size	mincost	meancost	maxcost
fullproblem	500	11603.6	13285.2	16186.9
coreset	32	667.901	1687.78	3249.55
coreset	64	3672.39	4885.56	6885.91
coreset	128	5200.9	6594.67	8944.88
coreset	256	5956.2	7388.39	9847.7
coreset	512	6765.88	8153.72	10591.4
coreset	1024	6724.21	8339.03	10525.4
coreset	2048	6897.43	8280.73	10515.1
coreset	4096	6680.27	8444.61	10214.2
coreset	8192	6966.88	8424.72	10249.9
coreset	16384	6787.4	8353.76	10574.3
coreset	32768	6669.58	8376.74	10328.2
coreset	65536	7029.77	8395.57	10009.4
